측정소명,주소,위도,경도
강남구,서울특별시 강남구 삼성동 16-1,37.5137422,127.05544630232768
강남대로,서울특별시 서초구 강남대로 201,37.47789,127.0385291
강동구,서울특별시 강동구 구천면로42길 59,37.5460139,127.1357223
강변북로,서울특별시 성동구 강변북로 257,37.5434959,127.0270878
강북구,서울특별시 강북구 삼양로139길 49,37.6479732,127.0115593
강서구,서울특별시 강서구 화곡동 강서로45다길 71,37.54466255,126.83519224834023
공항대로,서울특별시 마곡역,37.5596278,126.8275298
관악구,서울특별시 관악구 신림동길 14,37.48740505,126.92715331638146
관악산,과천시 자하동길 64,37.4432,126.9673
광진구,서울특별시 광진구 구의동 광나루로 571,37.54504585,127.09445790724516
구로구,서울특별시 구로구 가마산로27길 45,37.4983791,126.8909735
금천구,서울특별시 금천구 금하로24길 6,37.4489883,126.9078558
남산,서울특별시 용산구 남산공원길 105,37.5512474,126.98826417599432
노원구,서울특별시 노원구 상계2동 상계로23길 17,37.6588045,127.0687269
도봉구,서울특별시 도봉구 시루봉로2길 34,37.6541,127.0291
도산대로,서울특별시 강남구 신사동 610-2,37.52232055,127.02769395302175
동대문구,서울특별시 동대문구 용신동 천호대로13길 43,37.5774838,127.0298009
동작구,서울특별시 동작구 사당로16아길 6,37.4809533,126.9716647
동작대로,서울특별시 동작구 사당로 310,37.4843889,126.9718021
마포구,서울특별시 마포구 포은로6길 10,37.5558809,126.9062727
마포아트센터,마포구 대흥로20길 28(마포아트센터),37.5497,126.9456
북한산,강북구 삼양로 181길 387 (우이령 전경대 위),37.6789,127.0023
서대문구,서울특별시 서대문구 세검정로4길 32,37.5937788,126.9497219
서울숲,성동구 뚝섬로 273(서울숲 방문자센터 옆),37.5429,127.0417
서초구,서울특별시 서초구 신반포로15길 16,37.504572550000006,126.99451027582955
성동구,서울특별시 성동구 뚝섬로3길 18,37.542067,127.0496432
성북구,서울특별시 성북구 삼양로2길 70,37.605715,127.0251738
세곡,강남구 밤고개로 337 (세곡사거리),37.464,127.109
송파구,서울특별시 송파구 백제고분로 236,37.5027234,127.0925526
시흥대로,서울특별시 금천구 독산동 968,37.4754,126.8993
신촌로,서울 마포구 노고산동 57-62 (신촌역 7번 출구),37.5549,126.9362
양천구,서울 양천구 중앙로52길 56,37.525828,126.8546309
영등포구,서울특별시 영등포구 당산동3가 당산로 123,37.5160417,126.8943428
영등포로,서울 영등포구 영중로 37,37.5204548,126.9048814
올림픽공원,송파구 올림픽로 424(서울역사편찬원),37.5217,127.1244
용산구,서울특별시 용산구 한남대로 136,37.5356442,127.0059256
은평구,서울특별시 은평구 진흥로 215,37.608413,126.9291524
자연사박물관,서대문구 연희로32길 51(서대문자연사박물관),37.5767,126.9378
정릉로,서울특별시 성북구 돈암동 8-164,37.599422950000005,127.02378612455342
종로,서울특별시 종로구 종로 157,37.5721866,127.0125717
종로구,서울특별시 종로구 종로35가길 19,37.5720378,127.0050662
중구,서울특별시 중구 덕수궁길 15,37.5643052,126.97557231633982
중랑구,서울특별시 중랑구 용마산로 369,37.5776013,127.0902935
천호대로,서울특별시 강동구 천호대로 1151,37.5377854,127.1265483
청계천로,서울특별시 중구 청계천로 184,37.5679375,126.9876113
한강대로,서울 용산구 한강대로 405,37.5545547,126.9707793
행주,김포시 고촌읍 은행영사정로 197,37.6041468,126.7837576
홍릉로,서울 동대문구 홍릉로 1,37.5804829,127.04464352020752
화랑로,서울 노원구 화랑로 429,37.6239187,127.0907603
