측정일시,측정소명,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
20210101,강남구,0.022,0.017,0.5,0.004,22,14
20210101,강남대로,0.028,0.013,0.8,0.005,26,14
20210101,강동구,0.029,0.014,0.5,0.003,30,20
20210101,강변북로,0.028,0.013,0.9,0.003,28,20
20210101,강북구,0.025,0.013,0.6,0.003,33,19
20210101,강서구,0.027,0.018,0.3,0.005,25,14
20210101,공항대로,0.028,0.016,0.5,0.003,29,15
20210101,관악구,0.033,0.013,0.6,0.004,21,12
20210101,관악산,0.005,0.035,0.2,0.003,13,6
20210101,광진구,0.025,0.011,0.6,,25,16
20210101,구로구,0.029,0.016,0.4,0.004,24,14
20210101,궁동,0.025,0.013,0.5,0.003,27,18
20210101,금천구,0.03,0.015,0.5,0.003,28,18
20210101,남산,0.02,0.019,0.4,0.003,21,16
20210101,노원구,0.029,0.015,0.6,0.004,29,21
20210101,도봉구,0.023,0.017,0.4,0.002,22,17
20210101,도산대로,0.029,0.014,0.8,0.004,28,15
20210101,동대문구,0.029,0.016,0.6,0.003,23,17
20210101,동작구,0.029,0.015,0.5,0.003,26,17
20210101,동작대로,0.035,0.011,0.5,0.003,27,15
20210101,마포구,0.032,0.013,0.5,0.003,22,15
20210101,마포아트센터,0.028,0.02,0.8,0.005,23,13
20210101,북한산,0.011,0.02,0.4,0.002,14,10
20210101,서대문구,0.027,0.012,1.1,0.006,25,23
20210101,서울숲,0.03,0.012,0.4,0.003,22,12
20210101,서초구,0.026,0.018,0.4,0.004,22,14
20210101,성동구,0.033,0.024,0.5,0.003,22,15
20210101,성북구,0.031,0.013,,0.003,24,16
20210101,세곡,0.027,0.014,0.7,0.007,32,19
20210101,송파구,0.031,0.011,0.6,0.004,21,12
20210101,시흥대로,0.034,0.014,0.6,0.005,32,20
20210101,신촌로,0.04,0.012,0.6,0.003,26,16
20210101,양천구,0.031,0.014,0.5,0.004,27,16
20210101,영등포구,0.026,0.015,0.6,0.003,23,15
20210101,영등포로,0.033,0.013,0.6,0.004,27,15
20210101,올림픽공원,0.021,0.017,0.8,0.004,22,16
20210101,용산구,0.023,0.013,0.5,0.003,32,13
20210101,은평구,0.024,0.017,0.6,0.004,22,15
20210101,자연사박물관,0.026,0.018,0.9,0.005,23,17
20210101,정릉로,0.039,0.01,0.6,0.003,28,18
20210101,종로,0.026,0.015,0.5,0.003,26,15
20210101,종로구,0.025,0.017,0.6,0.003,30,17
20210101,중구,0.028,0.016,0.5,0.003,30,18
20210101,중랑구,0.031,0.013,0.6,0.003,26,15
20210101,천호대로,0.034,0.013,0.6,0.004,30,18
