측정일시,측정소명,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
20221031,강남구,0.031,0.02,0.4,0.003,26,14
20221031,강남대로,0.037,0.011,0.7,0.003,29,14
20221031,강동구,0.026,0.017,0.4,0.003,25,14
20221031,강변북로,0.035,0.014,0.4,0.004,34,14
20221031,강북구,0.015,0.027,0.4,0.002,21,12
20221031,강서구,0.028,0.024,0.4,0.003,28,14
20221031,공항대로,0.033,0.018,0.4,0.003,31,18
20221031,관악구,0.025,0.024,0.4,0.003,27,14
20221031,관악산,0.009,0.044,0.2,0.003,21,12
20221031,광진구,0.021,0.021,0.5,0.002,23,13
20221031,구로구,0.02,0.027,0.3,0.003,31,13
20221031,금천구,0.021,0.019,0.4,0.003,23,17
20221031,남산,0.025,0.027,0.9,0.003,23,13
20221031,노원구,0.032,0.018,0.5,0.004,24,16
20221031,도봉구,0.016,0.026,0.6,0.003,20,11
20221031,도산대로,0.029,0.019,0.5,0.003,29,14
20221031,동대문구,0.026,0.021,0.4,0.003,24,14
20221031,동작구,0.024,0.025,0.4,0.001,25,15
20221031,동작대로,0.038,0.019,0.5,0.003,28,18
20221031,마포구,0.025,0.025,0.4,0.003,22,14
20221031,마포아트센터,0.025,0.028,0.6,0.004,26,12
20221031,북한산,0.012,0.03,0.2,0.002,13,10
20221031,서대문구,0.017,0.027,0.5,0.004,21,10
20221031,서울숲,0.024,0.017,0.5,0.002,31,12
20221031,서초구,0.026,0.021,0.3,0.002,26,13
20221031,성동구,0.032,0.021,0.4,0.003,27,13
20221031,성북구,0.029,0.022,0.5,0.002,24,14
20221031,세곡,0.029,0.008,1,0.003,26,12
20221031,송파구,0.03,0.019,0.4,0.003,26,14
20221031,시흥대로,0.041,0.015,0.5,0.003,24,12
20221031,신촌로,0.034,0.016,0.5,0.003,30,16
20221031,양천구,0.023,0.023,0.4,0.003,23,13
20221031,영등포구,0.027,0.024,0.4,0.003,25,12
20221031,영등포로,0.034,0.017,0.5,0.003,29,16
20221031,올림픽공원,0.021,0.019,0.8,0.003,25,14
20221031,용산구,0.026,0.022,0.4,0.003,25,14
20221031,은평구,0.016,0.029,0.3,0.002,23,12
20221031,자연사박물관,0.019,0.03,0.8,0.003,22,10
20221031,정릉로,0.034,0.015,0.5,0.003,27,14
20221031,종로,0.028,0.017,0.5,0.003,26,12
20221031,종로구,0.024,0.024,0.4,0.001,24,13
20221031,중구,0.027,0.024,0.4,0.002,24,15
20221031,중랑구,0.02,0.027,0.4,0.002,22,13
20221031,천호대로,0.036,0.013,0.5,0.003,28,14
20221031,청계천로,0.034,0.018,0.6,0.004,36,16
20221031,한강대로,0.033,0.019,0.5,0.003,31,12
20221031,항동,0.016,0.025,0.8,0.003,24,12
20221031,행주,0.024,0.021,0.6,0.003,27,14
20221031,홍릉로,0.03,0.014,0.4,0.003,29,17
20221031,화랑로,0.039,0.011,0.5,0.003,26,13
20221030,강남구,0.023,0.027,0.4,0.003,23,14
20221030,강남대로,0.034,0.011,0.7,0.003,28,18
20221030,강동구,0.021,0.019,0.4,0.003,26,17
20221030,강변북로,0.032,0.016,0.4,0.003,29,12
20221030,강북구,0.013,0.029,0.5,0.002,22,14
20221030,강서구,0.023,0.027,0.5,0.003,28,16
20221030,공항대로,0.027,0.021,0.5,0.002,32,20
20221030,관악구,0.028,0.02,0.5,0.003,33,19
20221030,관악산,0.006,0.049,0.2,0.003,23,14
20221030,광진구,0.017,0.024,0.5,0.002,20,13
20221030,구로구,0.019,0.027,0.4,0.002,34,15
20221030,금천구,0.019,0.026,0.5,0.003,28,19
20221030,남산,0.019,0.034,0.9,0.003,23,15
20221030,노원구,0.025,0.022,0.5,0.003,26,20
20221030,도봉구,0.018,0.024,0.6,0.003,21,14
20221030,도산대로,0.022,0.023,0.5,0.002,27,16
20221030,동대문구,0.024,0.025,0.5,0.003,24,17
20221030,동작구,0.026,0.023,0.5,0.001,28,19
20221030,동작대로,0.038,0.016,0.6,0.003,31,21
20221030,마포구,0.021,0.03,0.5,0.003,23,16
20221030,마포아트센터,0.021,0.034,0.6,0.003,23,13
20221030,북한산,0.008,0.036,0.2,0.002,11,11
20221030,서대문구,0.011,0.033,0.5,0.004,18,10
20221030,서울숲,0.021,0.019,0.4,0.002,29,12
20221030,서초구,0.025,0.021,0.4,0.002,23,14
20221030,성동구,0.025,0.026,0.4,0.003,25,14
20221030,성북구,0.032,0.02,0.6,0.002,23,16
20221030,세곡,0.024,0.01,1.1,0.003,25,15
20221030,송파구,0.029,0.018,0.5,0.003,28,17
